RT Ponting,11,26,0,15,1,0,73.33,4,v West Indies,Adelaide,2000-12-15,0,0,0-49
RT Ponting,92,232,0,156,10,0,58.97,2,v West Indies,Adelaide,2000-12-15,1,0,50-99
RT Ponting,23,47,0,30,5,0,76.66,1,v West Indies,Melbourne,2000-12-26,0,0,0-49
RT Ponting,26,22,1,24,5,0,108.33,3,v West Indies,Melbourne,2000-12-26,0,0,0-49
RT Ponting,14,28,1,32,2,0,43.75,4,v West Indies,Sydney,2001-01-02,0,0,0-49
RT Ponting,51,160,0,120,5,0,42.5,2,v West Indies,Sydney,2001-01-02,1,0,50-99
RT Ponting,0,5,0,5,0,0,0,2,v India,Mumbai,2001-02-27,0,0,0-49
RT Ponting,0,3,0,4,0,0,0,4,v India,Kolkata,2001-03-11,0,0,0-49
RT Ponting,6,22,0,12,1,0,50,1,v India,Kolkata,2001-03-11,0,0,0-49
RT Ponting,0,2,0,1,0,0,0,1,v India,Chennai,2001-03-18,0,0,0-49
RT Ponting,11,29,0,25,0,1,44,3,v India,Chennai,2001-03-18,0,0,0-49
RT Ponting,11,23,0,13,2,0,84.61,2,v England,Birmingham,2001-07-05,0,0,0-49
RT Ponting,4,2,0,3,0,0,133.33,4,v England,Lord's,2001-07-19,0,0,0-49
RT Ponting,14,14,0,12,3,0,116.66,2,v England,Lord's,2001-07-19,0,0,0-49
RT Ponting,14,32,0,20,3,0,70,2,v England,Nottingham,2001-08-02,0,0,0-49
RT Ponting,17,34,0,31,3,0,54.83,4,v England,Nottingham,2001-08-02,0,0,0-49
RT Ponting,72,91,0,72,10,1,100,3,v England,Leeds,2001-08-16,1,0,50-99
RT Ponting,144,211,0,154,20,3,93.5,1,v England,Leeds,2001-08-16,0,1,100-149
RT Ponting,62,126,0,102,8,0,60.78,1,v England,The Oval,2001-08-23,1,0,50-99
RT Ponting,5,9,0,7,0,0,71.42,1,v New Zealand,Brisbane,2001-11-08,0,0,0-49
RT Ponting,32,39,1,29,2,1,110.34,3,v New Zealand,Brisbane,2001-11-08,0,0,0-49
RT Ponting,157,309,1,218,20,1,72.01,1,v New Zealand,Hobart,2001-11-22,0,1,150-199
RT Ponting,26,44,0,26,5,0,100,4,v New Zealand,Perth,2001-11-30,0,0,0-49
RT Ponting,31,46,0,37,7,0,83.78,2,v New Zealand,Perth,2001-11-30,0,0,0-49
RT Ponting,25,67,0,48,4,0,52.08,3,v South Africa,Adelaide,2001-12-14,0,0,0-49
RT Ponting,54,119,0,86,4,0,62.79,1,v South Africa,Adelaide,2001-12-14,1,0,50-99
RT Ponting,0,6,1,2,0,0,0,4,v South Africa,Melbourne,2001-12-26,0,0,0-49
RT Ponting,22,54,0,38,3,0,57.89,2,v South Africa,Melbourne,2001-12-26,0,0,0-49
RT Ponting,14,28,0,19,3,0,73.68,1,v South Africa,Sydney,2002-01-02,0,0,0-49
RT Ponting,39,58,0,43,6,0,90.69,1,v South Africa,Johannesburg,2002-02-22,0,0,0-49
RT Ponting,47,116,0,69,5,1,68.11,2,v South Africa,Cape Town,2002-03-08,0,0,0-49
RT Ponting,100,261,1,160,16,1,62.5,4,v South Africa,Cape Town,2002-03-08,0,1,100-149
RT Ponting,34,60,0,32,6,0,106.25,3,v South Africa,Durban,2002-03-15,0,0,0-49
RT Ponting,89,154,0,100,16,0,89,1,v South Africa,Durban,2002-03-15,1,0,50-99
RT Ponting,7,24,0,12,1,0,58.33,3,v Pakistan,Colombo (PSS),2002-10-03,0,0,0-49
RT Ponting,141,259,0,163,23,0,86.5,1,v Pakistan,Colombo (PSS),2002-10-03,0,1,100-149
RT Ponting,44,95,0,65,4,1,67.69,2,v Pakistan,Sharjah,2002-10-11,0,0,0-49
RT Ponting,150,395,0,266,14,3,56.39,1,v Pakistan,Sharjah,2002-10-19,0,1,150-199
RT Ponting,3,17,0,11,0,0,27.27,3,v England,Brisbane,2002-11-07,0,0,0-49
RT Ponting,123,253,0,195,12,2,63.07,1,v England,Brisbane,2002-11-07,0,1,100-149
RT Ponting,154,349,0,269,9,0,57.24,2,v England,Adelaide,2002-11-21,0,1,150-199
RT Ponting,68,125,0,82,10,1,82.92,2,v England,Perth,2002-11-29,1,0,50-99
RT Ponting,21,40,0,32,3,0,65.62,1,v England,Melbourne,2002-12-26,0,0,0-49
RT Ponting,30,41,0,35,3,1,85.71,4,v England,Melbourne,2002-12-26,0,0,0-49
RT Ponting,7,8,0,6,1,0,116.66,2,v England,Sydney,2003-01-02,0,0,0-49
RT Ponting,11,17,0,16,2,0,68.75,4,v England,Sydney,2003-01-02,0,0,0-49
RT Ponting,42,68,1,66,4,1,63.63,4,v West Indies,Georgetown,2003-04-10,0,0,0-49
RT Ponting,117,292,0,195,18,0,60,2,v West Indies,Georgetown,2003-04-10,0,1,100-149
RT Ponting,45,144,0,104,4,0,43.26,3,v West Indies,Port of Spain,2003-04-19,0,0,0-49
RT Ponting,206,491,0,362,24,1,56.9,1,v West Indies,Port of Spain,2003-04-19,0,1,200+
RT Ponting,113,300,0,204,8,1,55.39,1,v West Indies,Bridgetown,2003-05-01,0,1,100-149
